Date,Daily_Cases,Daily_Deaths
2020-01-23,0.0,0.0
2020-01-24,187.0,7.0
2020-01-25,206.0,8.0
2020-01-26,190.0,0.0
2020-01-27,126.0,12.0
2020-01-28,1842.0,23.0
2020-01-29,0.0,0.0
2020-01-30,1479.0,37.0
2020-01-31,0.0,3.0
2020-02-01,421.0,4.0
2020-02-02,2638.0,58.0
2020-02-03,0.0,0.0
2020-02-04,912.0,2.0
2020-02-05,0.0,6.0
2020-02-06,0.0,0.0
2020-02-07,432.0,15.0
2020-02-08,0.0,2.0
2020-02-09,300.0,13.0
2020-02-10,0.0,7.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,14734.0,248.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,40.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,42.0
2020-02-19,0.0,0.0
2020-02-20,61.0,10.0
2020-02-21,69.0,0.0
2020-02-22,1132.0,204.0
2020-02-23,0.0,0.0
2020-02-24,186.0,149.0
2020-02-25,286.0,0.0
2020-02-26,118.0,0.0
2020-02-27,372.0,0.0
2020-02-28,80.0,16.0
2020-02-29,447.0,11.0
2020-03-01,508.0,0.0
2020-03-02,0.0,36.0
2020-03-03,632.0,0.0
2020-03-04,0.0,22.0
2020-03-05,396.0,0.0
2020-03-06,1244.0,19.0
2020-03-07,153.0,0.0
2020-03-08,0.0,138.0
2020-03-09,497.0,0.0
2020-03-10,464.0,81.0
2020-03-11,2717.0,77.0
2020-03-12,0.0,0.0
2020-03-13,6438.0,182.0
2020-03-14,0.0,0.0
2020-03-15,345.0,245.0
2020-03-16,3334.0,40.0
2020-03-17,607.0,140.0
2020-03-18,2387.0,105.0
2020-03-19,9526.0,186.0
2020-03-20,2443.0,432.0
2020-03-21,2897.0,234.0
2020-03-22,1785.0,20.0
2020-03-23,8343.0,268.0
2020-03-24,0.0,330.0
2020-03-25,9598.0,545.0
2020-03-26,9333.0,282.0
2020-03-27,3117.0,386.0
2020-03-28,5651.0,410.0
2020-03-29,0.0,0.0
2020-03-30,8495.0,551.0
2020-03-31,13431.0,798.0
2020-04-01,7915.0,1476.0
2020-04-02,0.0,0.0
2020-04-03,1762.0,249.0
2020-04-04,0.0,0.0
2020-04-05,11594.0,0.0
2020-04-06,3011.0,506.0
2020-04-07,0.0,2090.0
2020-04-08,13238.0,0.0
2020-04-09,5005.0,935.0
2020-04-10,0.0,0.0
2020-04-11,0.0,0.0
2020-04-12,43066.0,0.0
2020-04-13,0.0,0.0
2020-04-14,12801.0,844.0
2020-04-15,0.0,1408.0
2020-04-16,16212.0,0.0
2020-04-17,0.0,1176.0
2020-04-18,0.0,0.0
2020-04-19,0.0,0.0
2020-04-20,160.0,410.0
2020-04-21,0.0,685.0
2020-04-22,5951.0,83.0
2020-04-23,679.0,0.0
2020-04-24,846.0,0.0
2020-04-25,0.0,0.0
2020-04-26,0.0,0.0
2020-04-27,189.0,629.0
2020-04-28,4848.0,1184.0
2020-04-29,1496.0,351.0
2020-04-30,6324.0,0.0
2020-05-01,5294.0,0.0
2020-05-02,0.0,459.0
2020-05-03,0.0,0.0
2020-05-04,3640.0,570.0
2020-05-05,2048.0,1302.0
2020-05-06,10737.0,613.0
2020-05-07,0.0,0.0
2020-05-08,1345.0,89.0
2020-05-09,0.0,0.0
2020-05-10,0.0,0.0
2020-05-11,918.0,0.0
2020-05-12,9139.0,1652.0
2020-05-13,0.0,0.0
2020-05-14,11294.0,312.0
2020-05-15,260.0,4.0
2020-05-16,0.0,0.0
2020-05-17,0.0,0.0
2020-05-18,10769.0,515.0
2020-05-19,6686.0,573.0
2020-05-20,9605.0,438.0
2020-05-21,550.0,0.0
2020-05-22,1369.0,671.0
2020-05-23,0.0,0.0
2020-05-24,0.0,0.0
2020-05-25,0.0,0.0
2020-05-26,4139.0,3086.0
2020-05-27,10194.0,440.0
2020-05-28,17437.0,0.0
2020-05-29,1443.0,165.0
2020-05-30,13607.0,0.0
2020-05-31,0.0,0.0
2020-06-01,0.0,454.0
2020-06-02,22377.0,1530.0
2020-06-03,0.0,350.0
2020-06-04,27014.0,0.0
2020-06-05,0.0,0.0
2020-06-06,0.0,0.0
2020-06-07,0.0,0.0
2020-06-08,0.0,1198.0
2020-06-09,22934.0,590.0
2020-06-10,11180.0,381.0
2020-06-11,0.0,0.0
2020-06-12,0.0,0.0
2020-06-13,6434.0,0.0
2020-06-14,0.0,0.0
2020-06-15,0.0,285.0
2020-06-16,18987.0,3051.0
2020-06-17,0.0,0.0
2020-06-18,0.0,0.0
2020-06-19,37902.0,1004.0
2020-06-20,4887.0,0.0
2020-06-21,0.0,162.0
2020-06-22,49270.0,0.0
2020-06-23,25791.0,1702.0
2020-06-24,3313.0,0.0
2020-06-25,8079.0,0.0
2020-06-26,12975.0,0.0
2020-06-27,0.0,0.0
2020-06-28,0.0,0.0
2020-06-29,0.0,451.0
2020-06-30,31089.0,1180.0
2020-07-01,31357.0,89.0
2020-07-02,0.0,173.0
2020-07-03,0.0,0.0
2020-07-04,0.0,0.0
2020-07-05,0.0,0.0
2020-07-06,0.0,423.0
2020-07-07,41296.0,2092.0
2020-07-08,5717.0,0.0
2020-07-09,9310.0,220.0
2020-07-10,8285.0,0.0
2020-07-11,0.0,0.0
2020-07-12,0.0,0.0
2020-07-13,1546.0,134.0
2020-07-14,26549.0,1549.0
2020-07-15,8759.0,0.0
2020-07-16,15126.0,243.0
2020-07-17,0.0,876.0
2020-07-18,0.0,0.0
2020-07-19,0.0,0.0
2020-07-20,0.0,0.0
2020-07-21,34877.0,2372.0
2020-07-22,32335.0,1080.0
2020-07-23,4275.0,0.0
2020-07-24,3875.0,0.0
2020-07-25,0.0,0.0
2020-07-26,0.0,0.0
2020-07-27,22577.0,887.0
2020-07-28,29501.0,1642.0
2020-07-29,6347.0,0.0
2020-07-30,11547.0,149.0
2020-07-31,5681.0,0.0
2020-08-01,0.0,0.0
2020-08-02,0.0,0.0
2020-08-03,0.0,170.0
2020-08-04,59247.0,2314.0
2020-08-05,9852.0,206.0
2020-08-06,11546.0,0.0
2020-08-07,0.0,0.0
2020-08-08,0.0,0.0
2020-08-09,0.0,0.0
2020-08-10,217.0,183.0
2020-08-11,32351.0,1238.0
2020-08-12,9507.0,358.0
2020-08-13,15024.0,0.0
2020-08-14,16979.0,0.0
2020-08-15,0.0,0.0
2020-08-16,0.0,0.0
2020-08-17,2841.0,0.0
2020-08-18,46522.0,2433.0
2020-08-19,18070.0,0.0
2020-08-20,0.0,4.0
2020-08-21,0.0,0.0
2020-08-22,1576.0,17.0
2020-08-23,0.0,0.0
2020-08-24,25341.0,550.0
2020-08-25,17108.0,1706.0
2020-08-26,36483.0,0.0
2020-08-27,5572.0,0.0
2020-08-28,0.0,0.0
2020-08-29,0.0,0.0
2020-08-30,0.0,0.0
2020-08-31,44569.0,159.0
2020-09-01,2577.0,2168.0
2020-09-02,15006.0,0.0
2020-09-03,3540.0,0.0
2020-09-04,16302.0,0.0
2020-09-05,0.0,0.0
2020-09-06,0.0,0.0
2020-09-07,0.0,5488.0
2020-09-08,29229.0,0.0
2020-09-09,38798.0,1142.0
2020-09-10,19083.0,0.0
2020-09-11,11969.0,0.0
2020-09-12,0.0,0.0
2020-09-13,0.0,0.0
2020-09-14,18305.0,644.0
2020-09-15,13412.0,1955.0
2020-09-16,24400.0,0.0
2020-09-17,10621.0,0.0
2020-09-18,11073.0,204.0
2020-09-19,0.0,0.0
2020-09-20,0.0,0.0
2020-09-21,4780.0,446.0
2020-09-22,24410.0,1723.0
2020-09-23,27334.0,400.0
2020-09-24,9300.0,0.0
2020-09-25,9661.0,349.0
2020-09-26,0.0,0.0
2020-09-27,0.0,0.0
2020-09-28,14255.0,229.0
2020-09-29,21551.0,1934.0
2020-09-30,41747.0,378.0
2020-10-01,0.0,2468.0
2020-10-02,10393.0,0.0
2020-10-03,0.0,0.0
2020-10-04,0.0,0.0
2020-10-05,50813.0,3048.0
2020-10-06,4778.0,0.0
2020-10-07,33071.0,59.0
2020-10-08,10127.0,462.0
2020-10-09,1082.0,0.0
2020-10-10,0.0,0.0
2020-10-11,0.0,0.0
2020-10-12,531.0,0.0
2020-10-13,29347.0,1222.0
2020-10-14,61412.0,814.0
2020-10-15,26212.0,46.0
2020-10-16,3524.0,4.0
2020-10-17,0.0,0.0
2020-10-18,0.0,0.0
2020-10-19,43707.0,883.0
2020-10-20,13924.0,1782.0
2020-10-21,50737.0,279.0
2020-10-22,42466.0,0.0
2020-10-23,11824.0,1126.0
2020-10-24,0.0,0.0
2020-10-25,0.0,0.0
2020-10-26,124211.0,1474.0
2020-10-27,0.0,1547.0
2020-10-28,53306.0,0.0
2020-10-29,29606.0,62.0
2020-10-30,20367.0,538.0
2020-10-31,0.0,0.0
2020-11-01,0.0,0.0
2020-11-02,109180.0,1101.0
2020-11-03,17145.0,3115.0
2020-11-04,0.0,321.0
2020-11-05,127190.0,0.0
2020-11-06,3849.0,416.0
2020-11-07,0.0,0.0
2020-11-08,0.0,0.0
2020-11-09,18957.0,1180.0
2020-11-10,60939.0,2194.0
2020-11-11,53920.0,642.0
2020-11-12,15530.0,0.0
2020-11-13,20739.0,182.0
2020-11-14,0.0,0.0
2020-11-15,0.0,0.0
2020-11-16,35406.0,1126.0
2020-11-17,76678.0,2915.0
2020-11-18,19953.0,497.0
2020-11-19,31721.0,0.0
2020-11-20,20045.0,638.0
2020-11-21,0.0,0.0
2020-11-22,0.0,0.0
2020-11-23,35930.0,1056.0
2020-11-24,56776.0,3786.0
2020-11-25,26293.0,0.0
2020-11-26,0.0,0.0
2020-11-27,106081.0,579.0
2020-11-28,0.0,0.0
2020-11-29,0.0,0.0
2020-11-30,10956.0,1426.0
2020-12-01,108326.0,3308.0
2020-12-02,25344.0,99.0
2020-12-03,50350.0,221.0
2020-12-04,5762.0,0.0
2020-12-05,0.0,0.0
2020-12-06,0.0,0.0
2020-12-07,0.0,737.0
2020-12-08,95820.0,3205.0
2020-12-09,34684.0,532.0
2020-12-10,830057.0,0.0
2020-12-11,0.0,764.0
2020-12-12,0.0,0.0
2020-12-13,0.0,0.0
2020-12-14,12362.0,965.0
2020-12-15,97465.0,4029.0
2020-12-16,68921.0,684.0
2020-12-17,21060.0,0.0
2020-12-18,0.0,0.0
2020-12-19,0.0,0.0
2020-12-20,0.0,0.0
2020-12-21,0.0,1106.0
2020-12-22,105235.0,4359.0
2020-12-23,30638.0,0.0
2020-12-24,11296.0,0.0
2020-12-25,0.0,0.0
2020-12-26,39420.0,0.0
2020-12-27,0.0,0.0
2020-12-28,85991.0,1392.0
2020-12-29,172690.0,5391.0
2020-12-30,53425.0,505.0
2020-12-31,114428.0,0.0
2021-01-01,0.0,0.0
2021-01-02,40684.0,0.0
2021-01-03,0.0,0.0
2021-01-04,37111.0,2010.0
2021-01-05,183449.0,5469.0
2021-01-06,50023.0,0.0
2021-01-07,79045.0,42.0
2021-01-08,0.0,327.0
2021-01-09,0.0,0.0
2021-01-10,0.0,0.0
2021-01-11,12935.0,722.0
2021-01-12,78062.0,6683.0
2021-01-13,50737.0,0.0
2021-01-14,15785.0,0.0
2021-01-15,24795.0,0.0
2021-01-16,0.0,0.0
2021-01-17,0.0,0.0
2021-01-18,0.0,578.0
2021-01-19,75535.0,5232.0
2021-01-20,94424.0,2069.0
2021-01-21,0.0,0.0
2021-01-22,0.0,0.0
2021-01-23,0.0,0.0
2021-01-24,0.0,0.0
2021-01-25,19570.0,1380.0
2021-01-26,79760.0,6273.0
2021-01-27,39652.0,0.0
2021-01-28,14151.0,0.0
2021-01-29,0.0,0.0
2021-01-30,0.0,0.0
2021-01-31,0.0,0.0
2021-02-01,46393.0,699.0
2021-02-02,22452.0,4609.0
2021-02-03,59795.0,1002.0
2021-02-04,0.0,0.0
2021-02-05,64731.0,4254.0
2021-02-06,0.0,0.0
2021-02-07,0.0,0.0
2021-02-08,0.0,1792.0
2021-02-09,67373.0,5170.0
2021-02-10,33174.0,0.0
2021-02-11,3303.0,13.0
2021-02-12,0.0,0.0
2021-02-13,0.0,0.0
2021-02-14,0.0,0.0
2021-02-15,0.0,711.0
2021-02-16,78971.0,3286.0
2021-02-17,26586.0,252.0
2021-02-18,24421.0,634.0
2021-02-19,0.0,0.0
2021-02-20,0.0,0.0
2021-02-21,0.0,0.0
2021-02-22,0.0,456.0
2021-02-23,97173.0,4234.0
2021-02-24,52188.0,961.0
2021-02-25,8034.0,0.0
2021-02-26,0.0,0.0
2021-02-27,0.0,0.0
2021-02-28,0.0,0.0
2021-03-01,0.0,1008.0
2021-03-02,7762.0,2749.0
2021-03-03,128583.0,1300.0
2021-03-04,16562.0,0.0
2021-03-05,0.0,136.0
2021-03-06,0.0,0.0
2021-03-07,0.0,0.0
2021-03-08,0.0,1112.0
2021-03-09,108575.0,3300.0
2021-03-10,44823.0,0.0
2021-03-11,30813.0,56.0
2021-03-12,0.0,0.0
2021-03-13,0.0,0.0
2021-03-14,0.0,0.0
2021-03-15,0.0,1516.0
2021-03-16,112950.0,3106.0
2021-03-17,78682.0,0.0
2021-03-18,2213.0,131.0
2021-03-19,14610.0,95.0
2021-03-20,0.0,0.0
2021-03-21,0.0,0.0
2021-03-22,0.0,0.0
2021-03-23,84648.0,3519.0
2021-03-24,123860.0,0.0
2021-03-25,22494.0,945.0
2021-03-26,0.0,1216.0
2021-03-27,0.0,0.0
2021-03-28,0.0,0.0
2021-03-29,0.0,1378.0
2021-03-30,102930.0,3238.0
2021-03-31,111690.0,1030.0
2021-04-01,35923.0,0.0
2021-04-02,0.0,0.0
2021-04-03,0.0,0.0
2021-04-04,19572.0,0.0
2021-04-05,0.0,826.0
2021-04-06,110505.0,4199.0
2021-04-07,55645.0,2906.0
2021-04-08,172917.0,0.0
2021-04-09,0.0,44.0
2021-04-10,0.0,0.0
2021-04-11,38968.0,0.0
2021-04-12,0.0,785.0
2021-04-13,149978.0,3886.0
2021-04-14,47490.0,296.0
2021-04-15,9917.0,0.0
2021-04-16,38619.0,0.0
2021-04-17,0.0,0.0
2021-04-18,0.0,0.0
2021-04-19,0.0,1995.0
2021-04-20,148665.0,3160.0
2021-04-21,49645.0,459.0
2021-04-22,10159.0,0.0
2021-04-23,8258.0,1340.0
2021-04-24,0.0,0.0
2021-04-25,0.0,0.0
2021-04-26,0.0,857.0
2021-04-27,150072.0,3371.0
2021-04-28,59669.0,944.0
2021-04-29,0.0,0.0
2021-04-30,0.0,0.0
2021-05-01,0.0,0.0
2021-05-02,0.0,0.0
2021-05-03,3186.0,1354.0
2021-05-04,94499.0,2374.0
2021-05-05,57045.0,845.0
2021-05-06,30845.0,0.0
2021-05-07,0.0,0.0
2021-05-08,0.0,0.0
2021-05-09,0.0,0.0
2021-05-10,0.0,618.0
2021-05-11,100155.0,3079.0
2021-05-12,41688.0,0.0
2021-05-13,0.0,0.0
2021-05-14,0.0,0.0
2021-05-15,0.0,0.0
2021-05-16,0.0,0.0
2021-05-17,0.0,1029.0
2021-05-18,76096.0,2746.0
2021-05-19,52407.0,0.0
2021-05-20,0.0,0.0
2021-05-21,344169.0,0.0
2021-05-22,0.0,0.0
2021-05-23,0.0,0.0
2021-05-24,0.0,0.0
2021-05-25,82329.0,3836.0
2021-05-26,35021.0,0.0
2021-05-27,0.0,133.0
2021-05-28,0.0,0.0
2021-05-29,0.0,0.0
2021-05-30,0.0,0.0
2021-05-31,0.0,297.0
2021-06-01,72948.0,6517.0
2021-06-02,27624.0,0.0
2021-06-03,0.0,0.0
2021-06-04,0.0,501.0
2021-06-05,0.0,0.0
2021-06-06,0.0,0.0
2021-06-07,0.0,769.0
2021-06-08,48350.0,2579.0
2021-06-09,48175.0,0.0
2021-06-10,35212.0,5797.0
2021-06-11,0.0,0.0
2021-06-12,0.0,0.0
2021-06-13,0.0,0.0
2021-06-14,6501.0,0.0
2021-06-15,65455.0,2760.0
2021-06-16,14418.0,0.0
2021-06-17,6820.0,0.0
2021-06-18,7512.0,0.0
2021-06-19,0.0,0.0
2021-06-20,0.0,0.0
2021-06-21,0.0,116.0
2021-06-22,113559.0,2001.0
2021-06-23,0.0,361.0
2021-06-24,12636.0,0.0
2021-06-25,8409.0,573.0
2021-06-26,0.0,0.0
2021-06-27,0.0,0.0
2021-06-28,21782.0,466.0
2021-06-29,48190.0,1598.0
2021-06-30,18260.0,1046.0
2021-07-01,36074.0,0.0
2021-07-02,6800.0,0.0
2021-07-03,0.0,0.0
2021-07-04,0.0,0.0
2021-07-05,50173.0,751.0
2021-07-06,72614.0,1091.0
2021-07-07,14711.0,72.0
2021-07-08,16637.0,366.0
2021-07-09,31357.0,0.0
2021-07-10,0.0,0.0
2021-07-11,0.0,1067.0
2021-07-12,64272.0,511.0
2021-07-13,91495.0,239.0
2021-07-14,12323.0,210.0
2021-07-15,38445.0,44.0
2021-07-16,19511.0,126.0
2021-07-17,0.0,0.0
2021-07-18,0.0,0.0
2021-07-19,69258.0,623.0
2021-07-20,42952.0,13473.0
2021-07-21,23689.0,0.0
2021-07-22,9081.0,114.0
2021-07-23,162951.0,0.0
2021-07-24,0.0,333.0
2021-07-25,13695.0,0.0
2021-07-26,95013.0,1124.0
2021-07-27,65703.0,1283.0
2021-07-28,43753.0,333.0
2021-07-29,0.0,144.0
2021-07-30,89485.0,0.0
2021-07-31,0.0,0.0
2021-08-01,0.0,0.0
2021-08-02,88035.0,732.0
2021-08-03,63172.0,2202.0
2021-08-04,46183.0,139.0
2021-08-05,5164.0,500.0
2021-08-06,133904.0,0.0
2021-08-07,0.0,0.0
2021-08-08,0.0,0.0
2021-08-09,151366.0,1333.0
2021-08-10,26729.0,2688.0
2021-08-11,84881.0,0.0
2021-08-12,0.0,0.0
2021-08-13,96053.0,0.0
2021-08-14,0.0,0.0
2021-08-15,0.0,0.0
