Country,Total_Cases,Total_Deaths
Afghanistan,209451.0,7896.0
Albania,334457.0,3598.0
Algeria,271496.0,6881.0
Andorra,47890.0,165.0
Angola,105288.0,1933.0
Antarctica,11.0,0.0
Antigua and Barbuda,9106.0,146.0
Argentina,10044957.0,130472.0
Armenia,447308.0,8727.0
Australia,232974.0,228.0
Australia.1,3915992.0,6529.0
Australia.2,105111.0,91.0
Australia.3,1800236.0,2783.0
Australia.4,883620.0,1365.0
Australia.5,287507.0,256.0
Australia.6,2880559.0,7370.0
Australia.7,1293461.0,952.0
Austria,5961143.0,21970.0
Azerbaijan,828825.0,10138.0
Bahamas,37491.0,833.0
Bahrain,710693.0,1553.0
Bangladesh,2037871.0,29445.0
Barbados,106798.0,579.0
Belarus,994037.0,7118.0
Belgium,4739365.0,33814.0
Belize,70757.0,688.0
Benin,27999.0,163.0
Bhutan,62627.0,21.0
Bolivia,1194277.0,22365.0
Bosnia and Herzegovina,401729.0,16280.0
Botswana,329758.0,2801.0
Brazil,37076053.0,699276.0
Brunei,279661.0,225.0
Bulgaria,1297523.0,38228.0
Burkina Faso,22056.0,396.0
Burma,633950.0,19490.0
Burundi,53631.0,38.0
Cabo Verde,63244.0,413.0
Cambodia,138719.0,3056.0
Cameroon,124392.0,1965.0
Canada,629269.0,5622.0
Canada.1,396817.0,5249.0
Canada.2,0.0,1.0
Canada.3,13.0,0.0
Canada.4,154712.0,2464.0
Canada.5,88866.0,834.0
Canada.6,54757.0,318.0
Canada.7,11511.0,22.0
Canada.8,140793.0,794.0
Canada.9,3531.0,7.0
Canada.10,1601325.0,16234.0
Canada.11,56523.0,93.0
Canada.12,1320325.0,18160.0
Canada.13,13.0,0.0
Canada.14,153651.0,1890.0
Canada.15,4989.0,32.0
Central African Republic,15368.0,113.0
Chad,7679.0,194.0
Chile,5192286.0,64273.0
China,2274.0,7.0
China.1,40760.0,20.0
China.2,14709.0,11.0
China.3,17121.0,2.0
China.4,1742.0,2.0
China.5,103222.0,10.0
China.6,13369.0,2.0
China.7,2533.0,2.0
China.8,10479.0,6.0
China.9,3291.0,7.0
China.10,6603.0,18.0
China.11,9943.0,23.0
China.12,2876106.0,13467.0
China.13,71687.0,4498.0
China.14,7433.0,4.0
China.15,8847.0,1.0
China.16,5074.0,0.0
China.17,3421.0,2.0
China.18,40764.0,5.0
China.19,3545.0,2.0
China.20,3513.0,121.0
China.21,1275.0,0.0
China.22,782.0,0.0
China.23,7326.0,5.0
China.24,5878.0,10.0
China.25,67031.0,595.0
China.26,7166.0,1.0
China.27,14562.0,12.0
China.28,4388.0,3.0
China.29,1647.0,0.0
China.30,1521816.0,82195.0
China.31,3089.0,3.0
China.32,9742.0,4.0
China.33,11838.0,1.0
Colombia,6359093.0,142339.0
Comoros,9008.0,161.0
Congo (Brazzaville),25087.0,388.0
Congo (Kinshasa),95749.0,1464.0
Costa Rica,1209725.0,9245.0
Cote d'Ivoire,88263.0,834.0
Croatia,1269326.0,17987.0
Cuba,1112643.0,8530.0
Cyprus,650685.0,1330.0
Czechia,4618256.0,42491.0
Denmark,34658.0,28.0
Denmark.1,11971.0,21.0
Denmark.2,3404407.0,8296.0
Diamond Princess,712.0,13.0
Djibouti,15690.0,189.0
Dominica,15760.0,74.0
Dominican Republic,660790.0,4384.0
Ecuador,1057121.0,36014.0
Egypt,515759.0,24812.0
El Salvador,201785.0,4230.0
Equatorial Guinea,17229.0,183.0
Eritrea,10189.0,103.0
Estonia,615433.0,2946.0
Eswatini,74267.0,1425.0
Ethiopia,500116.0,7572.0
Fiji,68898.0,883.0
Finland,1463644.0,8967.0
France,98041.0,413.0
France.1,78055.0,649.0
France.2,201886.0,1010.0
France.3,229020.0,1092.0
France.4,42004.0,187.0
France.5,80017.0,314.0
France.6,494595.0,921.0
France.7,5441.0,6.0
France.8,3452.0,2.0
France.9,12271.0,63.0
France.10,3427.0,7.0
France.11,38618509.0,161512.0
Gabon,48981.0,306.0
Gambia,12598.0,372.0
Georgia,1827537.0,16971.0
Germany,38249060.0,168935.0
Ghana,171229.0,1462.0
Greece,5548487.0,34779.0
Grenada,19680.0,238.0
Guatemala,1238247.0,20182.0
Guinea,38267.0,467.0
Guinea-Bissau,8960.0,176.0
Guyana,73075.0,1298.0
Haiti,34202.0,860.0
Holy See,29.0,0.0
Honduras,472250.0,11111.0
Hungary,2196804.0,48762.0
Iceland,209137.0,263.0
India,44690738.0,530779.0
Indonesia,6738225.0,160941.0
Iran,7572311.0,144933.0
Iraq,2465545.0,25375.0
Ireland,1704502.0,8708.0
Israel,4803824.0,12329.0
Italy,25603510.0,188322.0
Jamaica,154416.0,3514.0
Japan,33320436.0,72997.0
Jordan,1746997.0,14122.0
Kazakhstan,1498668.0,19071.0
Kenya,342937.0,5688.0
Kiribati,5014.0,18.0
"Korea, North",1.0,6.0
"Korea, South",30615521.0,34093.0
Kosovo,273312.0,3211.0
Kuwait,663860.0,2570.0
Kyrgyzstan,206708.0,2991.0
Laos,218023.0,758.0
Latvia,976255.0,6269.0
Lebanon,1232828.0,10841.0
Lesotho,34790.0,723.0
Liberia,8090.0,295.0
Libya,507187.0,6437.0
Liechtenstein,21432.0,89.0
Lithuania,1307448.0,9596.0
Luxembourg,317367.0,1220.0
MS Zaandam,9.0,2.0
Madagascar,67889.0,1423.0
Malawi,88707.0,2686.0
Malaysia,5044718.0,36967.0
Maldives,185738.0,311.0
Mali,33062.0,743.0
Malta,117610.0,828.0
Marshall Islands,15649.0,17.0
Mauritania,63668.0,997.0
Mauritius,296042.0,1044.0
Mexico,7483444.0,333188.0
Micronesia,23948.0,61.0
Moldova,611140.0,12003.0
Monaco,16121.0,67.0
Mongolia,1007900.0,2136.0
Montenegro,288808.0,2808.0
Morocco,1272490.0,16296.0
Mozambique,233214.0,2242.0
Namibia,171156.0,4090.0
Nauru,5247.0,1.0
Nepal,1001154.0,12020.0
Netherlands,44044.0,282.0
Netherlands.1,11804.0,41.0
Netherlands.2,45986.0,301.0
Netherlands.3,11020.0,91.0
Netherlands.4,8599981.0,22990.0
New Zealand,7031.0,2.0
New Zealand.1,792.0,0.0
New Zealand.2,2228291.0,2548.0
Nicaragua,15655.0,245.0
Niger,9508.0,315.0
Nigeria,266598.0,3155.0
North Macedonia,346852.0,9662.0
Norway,1479506.0,5213.0
Oman,399449.0,4628.0
Pakistan,1577411.0,30644.0
Palau,5991.0,9.0
Panama,1031731.0,8609.0
Papua New Guinea,46825.0,670.0
Paraguay,808401.0,19878.0
Peru,4487553.0,219539.0
Philippines,4077452.0,66188.0
Poland,6444960.0,119010.0
Portugal,5570473.0,26266.0
Qatar,495090.0,688.0
Romania,3346046.0,67736.0
Russia,22075858.0,388478.0
Rwanda,133194.0,1468.0
Saint Kitts and Nevis,6597.0,47.0
Saint Lucia,30004.0,409.0
Saint Vincent and the Grenadines,9589.0,123.0
Samoa,16607.0,29.0
San Marino,23616.0,122.0
Sao Tome and Principe,6281.0,77.0
Saudi Arabia,830127.0,9618.0
Senegal,88926.0,1971.0
Serbia,2500142.0,17881.0
Seychelles,50665.0,172.0
Sierra Leone,7760.0,126.0
Singapore,2235294.0,1722.0
Slovakia,2667551.0,21035.0
Slovenia,1331707.0,7078.0
Solomon Islands,24575.0,153.0
Somalia,27324.0,1361.0
South Africa,4067067.0,102595.0
South Sudan,18368.0,138.0
Spain,13770429.0,119479.0
Sri Lanka,672039.0,16830.0
Sudan,63829.0,5017.0
Summer Olympics 2020,865.0,0.0
Suriname,82467.0,1404.0
Sweden,2699339.0,23777.0
Switzerland,4413911.0,14210.0
Syria,57467.0,3164.0
Taiwan*,9970936.0,17672.0
Tajikistan,17786.0,125.0
Tanzania,42906.0,846.0
Thailand,4728178.0,33918.0
Timor-Leste,23419.0,138.0
Togo,39396.0,290.0
Tonga,16810.0,13.0
Trinidad and Tobago,189918.0,4355.0
Tunisia,1151126.0,29341.0
Turkey,17042722.0,101492.0
Tuvalu,2805.0,0.0
US,103802701.0,1123836.0
Uganda,170544.0,3630.0
Ukraine,5711929.0,119283.0
United Arab Emirates,1053213.0,2349.0
United Kingdom,3904.0,12.0
United Kingdom.1,18828.0,160.0
United Kingdom.2,7305.0,64.0
United Kingdom.3,31472.0,37.0
United Kingdom.4,0.0,0.0
United Kingdom.5,1930.0,0.0
United Kingdom.6,20433.0,111.0
United Kingdom.7,34991.0,66.0
United Kingdom.8,38008.0,116.0
United Kingdom.9,66391.0,161.0
United Kingdom.10,1403.0,8.0
United Kingdom.11,4.0,0.0
United Kingdom.12,2166.0,0.0
United Kingdom.13,6561.0,38.0
United Kingdom.14,24425309.0,219948.0
Uruguay,1034303.0,7617.0
Uzbekistan,251247.0,1637.0
Vanuatu,12014.0,14.0
Venezuela,552162.0,5854.0
Vietnam,11526994.0,43186.0
West Bank and Gaza,703228.0,5708.0
Winter Olympics 2022,535.0,0.0
Yemen,11945.0,2159.0
Zambia,343135.0,4057.0
Zimbabwe,264276.0,5671.0
